EAL: Probing VFIO support...
EAL: PCI device 0000:02:00.0 on NUMA socket 0
EAL:   probe driver: 8086:1583 net_i40e
EAL: PCI device 0000:02:00.1 on NUMA socket 0
EAL:   probe driver: 8086:1583 net_i40e
i40e_dcb_init_configure(): default dcb config fails. err = -53, aq_err = 3.
EAL: PCI device 0000:03:00.0 on NUMA socket 0
EAL:   probe driver: 8086:10fb net_ixgbe
EAL: PCI device 0000:03:00.1 on NUMA socket 0
EAL:   probe driver: 8086:10fb net_ixgbe
EAL: PCI device 0000:04:00.0 on NUMA socket 0
EAL:   probe driver: 8086:1583 net_i40e
EAL: PCI device 0000:04:00.1 on NUMA socket 0
EAL:   probe driver: 8086:1583 net_i40e
i40e_dcb_init_configure(): default dcb config fails. err = -53, aq_err = 3.
EAL: PCI device 0000:05:00.0 on NUMA socket 0
EAL:   probe driver: 8086:1528 net_ixgbe
EAL: PCI device 0000:05:00.1 on NUMA socket 0
EAL:   probe driver: 8086:1528 net_ixgbe
EAL: PCI device 0000:07:00.0 on NUMA socket 0
EAL:   probe driver: 8086:1533 net_e1000_igb
EAL: PCI device 0000:08:00.0 on NUMA socket 0
EAL:   probe driver: 8086:1533 net_e1000_igb
Initializing port 1...
PMD: ixgbe_dev_link_status_print():  Port 1: Link Down
Initializing port 2...
PMD: ixgbe_dev_link_status_print():  Port 2: Link Down
[1] RX: -1 Mbit/s 12.88 Mpps
[1] TX: -1 Mbit/s 10.11 Mpps
[2] RX: -1 Mbit/s 14.36 Mpps
[2] TX: -1 Mbit/s 10.11 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.87 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
[1] TX: -1 Mbit/s 11.67 Mpps
[2] RX: -1 Mbit/s 14.88 Mpps
[2] TX: -1 Mbit/s 11.67 Mpps
[1] RX: -1 Mbit/s 14.88 Mpps
